Id,Year,Activity,Size,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,Motorbike,Small,km,  0.08774 ,  0.08499 ,  0.00239 ,  0.00036 ,  0.01709 
2,2013,Motorbike,Small,miles,  0.141204,  0.136778,  0.003846,  0.000579,  0.027504
3,2013,Motorbike,Medium,km,  0.10628 ,  0.10316 ,  0.0025  ,  0.00062 ,  0.02074 
4,2013,Motorbike,Medium,miles,  0.171041,  0.16602 ,  0.004023,  0.000998,  0.033378
5,2013,Motorbike,Large,km,  0.13969 ,  0.13724 ,  0.00183 ,  0.00062 ,  0.02759 
6,2013,Motorbike,Large,miles,  0.224809,  0.220866,  0.002945,  0.000998,  0.044402
7,2013,Motorbike,Average,km,  0.11891 ,  0.11606 ,  0.00225 ,  0.0006  ,  0.02334 
8,2013,Motorbike,Average,miles,  0.191367,  0.18678 ,  0.003621,  0.000966,  0.037562
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
