Id,Year,Activity,ShipType,MinCapacity,CapacityUnit,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,CargoShip,BulkCarrier,200000,DWT,TonneKm,0.00252,0.0025,0,0.00002,0.00047
2,2013,CargoShip,BulkCarrier,100000,DWT,TonneKm,0.00302,0.003,0,0.00002,0.00057
3,2013,CargoShip,BulkCarrier,60000,DWT,TonneKm,0.00413,0.0041,0,0.00003,0.00077
4,2013,CargoShip,BulkCarrier,35000,DWT,TonneKm,0.00574,0.0057,0,0.00004,0.00108
5,2013,CargoShip,BulkCarrier,10000,DWT,TonneKm,0.00796,0.0079,0,0.00006,0.00149
6,2013,CargoShip,BulkCarrier,0,DWT,TonneKm,0.02943,0.0292,0.00001,0.00022,0.00552
7,2013,CargoShip,BulkCarrier,-1,DWT,TonneKm,0.00352,0.00349,0,0.00003,0.00066
8,2013,CargoShip,GeneralCargo,10000,DWT,TonneKm,0.01199,0.0119,0,0.00009,0.00225
9,2013,CargoShip,GeneralCargo,5000,DWT,TonneKm,0.01593,0.0158,0.00001,0.00012,0.00299
10,2013,CargoShip,GeneralCargo,0,DWT,TonneKm,0.01401,0.0139,0,0.00011,0.00263
11,2013,CargoShip,GeneralCargo,10000,DWTandTEU,TonneKm,0.01108,0.011,0,0.00008,0.00208
12,2013,CargoShip,GeneralCargo,5000,DWTandTEU,TonneKm,0.01764,0.0175,0.00001,0.00013,0.00331
13,2013,CargoShip,GeneralCargo,0,DWTandTEU,TonneKm,0.01996,0.0198,0.00001,0.00015,0.00374
14,2013,CargoShip,GeneralCargo,-1,DWTandTEU,TonneKm,0.01315,0.01305,0,0.0001,0.00247
15,2013,CargoShip,ContainerShip,8000,TEU,TonneKm,0.0126,0.0125,0,0.0001,0.00236
16,2013,CargoShip,ContainerShip,5000,TEU,TonneKm,0.01674,0.0166,0.00001,0.00013,0.00314
17,2013,CargoShip,ContainerShip,3000,TEU,TonneKm,0.01674,0.0166,0.00001,0.00013,0.00314
18,2013,CargoShip,ContainerShip,2999,TEU,TonneKm,0.02016,0.02,0.00001,0.00015,0.00378
19,2013,CargoShip,ContainerShip,1000,TEU,TonneKm,0.03236,0.0321,0.00001,0.00025,0.00606
20,2013,CargoShip,ContainerShip,0,TEU,TonneKm,0.03659,0.0363,0.00001,0.00028,0.00686
21,2013,CargoShip,ContainerShip,-1,TEU,TonneKm,0.01605,0.01592,0.00001,0.00012,0.00301
22,2013,CargoShip,VehicleTransport,4000,CEU,TonneKm,0.03226,0.032,0.00001,0.00025,0.00605
23,2013,CargoShip,VehicleTransport,0,CEU,TonneKm,0.05806,0.0576,0.00002,0.00044,0.01088
24,2013,CargoShip,VehicleTransport,-1,CEU,TonneKm,0.03835,0.03805,0.00001,0.00029,0.00719
25,2013,CargoShip,RoRoFerry,2000,LM,TonneKm,0.0499,0.0495,0.00002,0.00038,0.00935
26,2013,CargoShip,RoRoFerry,1999,LM,TonneKm,0.06078,0.0603,0.00002,0.00046,0.01139
27,2013,CargoShip,RoRoFerry,-1,LM,TonneKm,0.05136,0.05095,0.00002,0.00039,0.00963
28,2013,CargoShip,LargeRoPaxFerry,-1,,TonneKm,0.38741,0.38434,0.00012,0.00295,0.07261
29,2013,CargoShip,RefrigeratedCargo,-1,,TonneKm,0.013,0.0129,0,0.0001,0.00244
