Id,Year,Activity,Fuel,VanClass,Unit,kgCO2e,kgCO2,kgCH4,kgN2O,kgCO2eWTT
1,2013,Vans,Diesel,ClassOne,TonneKm,0.650217503,0.645450117,0.000214599,0.004552787,0.13928
2,2013,Vans,Diesel,ClassOne,km,0.15346443,0.152339231,5.06E-05,0.001074549,0.03287
3,2013,Vans,Diesel,ClassOne,miles,0.24697706,0.245166228,8.15E-05,0.00172932,0.052899137
4,2013,Vans,Diesel,ClassTwo,TonneKm,0.629667267,0.625117391,0.000140509,0.004409366,0.13488
5,2013,Vans,Diesel,ClassTwo,km,0.226977488,0.225337385,5.06E-05,0.001589454,0.04862
6,2013,Vans,Diesel,ClassTwo,miles,0.365284858,0.362645368,8.15E-05,0.002557978,0.078246305
7,2013,Vans,Diesel,ClassThree,TonneKm,0.504733258,0.501103543,9.51E-05,0.003534615,0.10812
8,2013,Vans,Diesel,ClassThree,km,0.268816733,0.266883577,5.06E-05,0.001882506,0.05758
9,2013,Vans,Diesel,ClassThree,miles,0.432618597,0.429507484,8.15E-05,0.0030296,0.092666028
10,2013,Vans,Diesel,Average,TonneKm,0.531950957,0.528118413,0.000107376,0.003725168,0.11395
11,2013,Vans,Diesel,Average,km,0.25092316,0.249115335,5.06E-05,0.001757175,0.05375
12,2013,Vans,Diesel,Average,miles,0.403821682,0.40091227,8.15E-05,0.002827899,0.08650224
13,2013,Vans,Petrol,ClassOne,TonneKm,0.824213301,0.820040672,0.00084774,0.00332489,0.16572
14,2013,Vans,Petrol,ClassOne,km,0.194000564,0.193018424,0.000199538,0.000782601,0.03901
15,2013,Vans,Petrol,ClassOne,miles,0.312213643,0.310633043,0.000321125,0.001259475,0.062780509
16,2013,Vans,Petrol,ClassTwo,TonneKm,0.80545922,0.801731774,0.000757293,0.002970153,0.16195
17,2013,Vans,Petrol,ClassTwo,km,0.212229316,0.211247177,0.000199538,0.000782601,0.04267
18,2013,Vans,Petrol,ClassTwo,miles,0.341549977,0.339969377,0.000321125,0.001259475,0.068670708
19,2013,Vans,Petrol,ClassThree,TonneKm,0.483539079,0.479715786,0.000405998,0.003417295,0.09722
20,2013,Vans,Petrol,ClassThree,km,0.257723469,0.255685676,0.000216394,0.001821398,0.05182
21,2013,Vans,Petrol,ClassThree,miles,0.414765718,0.411486208,0.000348253,0.002931256,0.083396206
22,2013,Vans,Petrol,Average,TonneKm,0.68766141,0.68401593,0.000656983,0.002988496,0.13826
23,2013,Vans,Petrol,Average,km,0.211148945,0.210029587,0.000201729,0.000917629,0.04245
24,2013,Vans,Petrol,Average,miles,0.339811288,0.338009856,0.000324652,0.00147678,0.068316653
25,2013,Vans,CNG,ClassOne,TonneKm,,,,,
26,2013,Vans,CNG,ClassOne,km,,,,,
27,2013,Vans,CNG,ClassOne,miles,,,,,
28,2013,Vans,CNG,ClassTwo,TonneKm,,,,,
29,2013,Vans,CNG,ClassTwo,km,,,,,
30,2013,Vans,CNG,ClassTwo,miles,,,,,
31,2013,Vans,CNG,ClassThree,TonneKm,,,,,
32,2013,Vans,CNG,ClassThree,km,,,,,
33,2013,Vans,CNG,ClassThree,miles,,,,,
34,2013,Vans,CNG,Average,TonneKm,0.511844093,0.501712492,0.000404849,0.009726752,  0.11746 
35,2013,Vans,CNG,Average,km,0.241438681,0.236659569,0.000190969,0.004588143,  0.05541 
36,2013,Vans,CNG,Average,miles,0.388557892,0.380866657,0.000307334,0.007383901,  0.089174
37,2013,Vans,LPG,ClassOne,TonneKm,,,,,
38,2013,Vans,LPG,ClassOne,km,,,,,
39,2013,Vans,LPG,ClassOne,miles,,,,,
40,2013,Vans,LPG,ClassTwo,TonneKm,,,,,
41,2013,Vans,LPG,ClassTwo,km,,,,,
42,2013,Vans,LPG,ClassTwo,miles,,,,,
43,2013,Vans,LPG,ClassThree,TonneKm,,,,,
44,2013,Vans,LPG,ClassThree,km,,,,,
45,2013,Vans,LPG,ClassThree,miles,,,,,
46,2013,Vans,LPG,Average,TonneKm,0.560121657,0.554524333,0.00045604,0.005141283,  0.07027 
47,2013,Vans,LPG,Average,km,0.264211379,0.261571102,0.000215116,0.002425162,  0.03315 
48,2013,Vans,LPG,Average,miles,0.425206998,0.420957884,0.000346195,0.003902919,  0.05335 
49,2013,Vans,Unknown,ClassOne,TonneKm,,,,,
50,2013,Vans,Unknown,ClassOne,km,,,,,
51,2013,Vans,Unknown,ClassOne,miles,,,,,
52,2013,Vans,Unknown,ClassTwo,TonneKm,,,,,
53,2013,Vans,Unknown,ClassTwo,km,,,,,
54,2013,Vans,Unknown,ClassTwo,miles,,,,,
53,2013,Vans,Unknown,ClassThree,TonneKm,,,,,
54,2013,Vans,Unknown,ClassThree,km,,,,,
53,2013,Vans,Unknown,ClassThree,miles,,,,,
54,2013,Vans,Unknown,Average,TonneKm,0.539574697,0.535729268,0.000125559,0.00371987,  0.11558 
53,2013,Vans,Unknown,Average,km,0.249003091,0.247228502,5.79E-05,0.001716647,  0.05334 
54,2013,Vans,Unknown,Average,miles,0.400731631,0.397875706,9.33E-05,0.002762675,  0.085842
